brand,category,sku,spu,product
G2G,唇部精华,G2G-2114,嘟嘟唇部精華,唇部精华链子版04透明色7g
G2G,唇部精华,G2G-2117,嘟嘟唇部精華,唇部精华链子版07南瓜
G2G,唇部精华,G2G-2111,嘟嘟唇部精華,唇部精华链子版01草莓红7g
SKT,面霜,SKINTIFIC-05,5X面霜,5X面霜
G2G,唇部精华,G2G-2115,嘟嘟唇部精華,唇部精华链子版05葡萄果冻
G2G,面霜,G2G-29,紅石榴面霜,GLAD2GLOW 紅石榴透亮保溼面霜 30g
G2G,唇部精华,G2G-2113,嘟嘟唇部精華,唇部精华链子版03葡萄紫7g
G2G,气垫,G2G-27300N,水光氣墊小銀盒,銀色氣墊00N
G2G,定妆喷雾,G2G-87,定妝噴霧,哑光定妆喷雾100ml
G2G,气垫,G2G-27301N,水光氣墊小銀盒,銀色氣墊01N
G2G,唇部精华,G2G-2112,嘟嘟唇部精華,唇部精华链子版02蜜桃橘7g
SKT,面膜,SKINTIFIC-77,艾草泥膜棒,艾草泥膜棒
SKT,面霜,SKINTIFIC-298,5X面霜清爽版,5X霜 清爽版
SKT,面霜,SKINTIFIC-05002,5X面霜,SKINTIFIC 5X神經醯胺保濕霜7g
G2G,唇部精华,G2G-2116,嘟嘟唇部精華,唇部精华链子版06樱桃汽水
SKT,面霜,SKINTIFIC-351,PDRN面霜,PDRN 霜
G2G,身体乳,G2G-271,煙酰胺身體乳,烟酰胺精华身体乳180ml
G2G,身体乳,G2G-272,A醇身體乳,视黄醇精华身体乳180ml
G2G,洗面奶,G2G-43,牛奶洁面乳,牛奶洁面80g
SKT,其他/赠品,SKINTIFIC-170,水油噴霧,水油保湿水100ml
SKT,气垫,SKINTIFIC-3261N,水光粉气垫,水光气垫01N
G2G,卸妆水,G2G-42,櫻花卸妝水,樱花温和卸妆水300ml
SKT,气垫,SKINTIFIC-3260N,水光粉气垫,水光气垫00N
G2G,气垫,G2G-27301W,水光氣墊小銀盒,銀色氣墊01W
G2G,精华,G2G-260,白松露精华喷雾,白松露水油保湿水100ml
SKT,防晒,SKINTIFIC-56002,5X防晒霜,SKINTIFIC 5X神經醯胺防曬霜7g
G2G,气垫,G2G-231N,完美氣墊粉底完美小粉盒,高遮瑕气垫01N色号
G2G,精华,G2G-221,PDRN精華,粉色PDRN精华20ml
G2G,气垫,G2G-230N,完美氣墊粉底完美小粉盒,高遮瑕气垫00N色号
G2G,精华,G2G-05,紅石榴保湿精華,GLAD2GLOW 紅石榴透亮精華17ml
SKT,爽肤水,SKINTIFIC-161,定妆喷雾,定妆喷雾
G2G,气垫,G2G-27302N,水光氣墊小銀盒,銀色氣墊02N
SKT,面膜,SKINTIFIC-65,火山泥膜棒,火山泥膜棒
SKT,精华,SKINTIFIC-347,PDRN精华,PDRN精华
SKT,防晒,SKINTIFIC-201,哑光防晒,哑光防晒 30g
SKT,防晒,SKINTIFIC-64,户外防晒喷雾,户外防晒喷雾250ml
G2G,精华,G2G-131,淨膚精華,磨皮精华15ml
G2G,气垫,G2G-232N,完美氣墊粉底完美小粉盒,高遮瑕气垫02N色号
SKT,面膜,SKINTIFIC-147,美白泥膜棒,美白泥膜棒
SKT,面霜,SKINTIFIC-157,素颜霜,素颜霜
G2G,气垫,G2G-231W,完美氣墊粉底完美小粉盒,高遮瑕气垫01W色号
SKT,洁面,SKINTIFIC-296,5X洗面奶,5X洗面奶-120mL
G2G,泥膜,G2G-27,火山泥膜棒,GLAD2GLOW火山泥潔淨泥膜棒25g
SKT,精华,SKINTIFIC-13,5X精华,5X精华
SKT,防晒,SKINTIFIC-227,哑光防晒,哑光防晒 50g
SKT,气垫,SKINTIFIC-3262N,水光粉气垫,水光气垫02N
SKT,面霜,SKINTIFIC-21,美白面霜,美白面霜
G2G,面霜,G2G-223,PDRN面霜,粉色PDRN面霜30g
SKT,气垫,SKINTIFIC-3261W,水光粉气垫,水光气垫01W
SKT,面霜,SKINTIFIC-39,377面霜,377面霜30g
SKT,气垫,SKINTIFIC-260N,無暇金氣墊,金色气垫00N
G2G,泥膜,G2G-31,艾草泥膜棒,GLAD2GLOW艾草淨膚泥膜棒25g
SKT,防晒,SKINTIFIC-56,5X防晒霜,5X防晒
SKT,气垫,SKINTIFIC-1340N,柔霧控油藍氣墊,哑光气垫00N
SKT,防晒,SKINTIFIC-212,防晒喷雾,防晒喷雾
SKT,其他/赠品,SKINTIFIC-12,5X化妝水,5X水
G2G,气垫,G2G-27302W,水光氣墊小銀盒,銀色氣墊02W
SKT,气垫,SKINTIFIC-3260W,水光粉气垫,水光气垫00W
TP,唇部,TCC138003,琉璃亮面唇漆,亮面唇漆 003
SKT,面霜,SKINTIFIC-17101N,有色面霜,有色面霜01N
SKT,气垫,SKINTIFIC-1341N,柔霧控油藍氣墊,哑光气垫01N
G2G,面霜,G2G-208,亮顏霜,素颜霜30ml
G2G,唇部精华,G2G-27504,潤色護唇膏,有色润唇膏04色
SKT,气垫,SKINTIFIC-261N,無暇金氣墊,金色气垫01N
G2G,粉饼,G2G-802,絲絨粉餅,G2G有色丝绒粉饼02色号
G2G,泥膜,G2G-45,红石榴泥膜棒,美白泥膜棒25g
G2G,粉饼,G2G-801,絲絨粉餅,G2G有色丝绒粉饼01色号
G2G,气垫,G2G-232W,完美氣墊粉底完美小粉盒,高遮瑕气垫02W色号
SKT,面膜,SKINTIFIC-31001,美白面膜,美白面膜400g
TP,唇部,TCC138007,琉璃亮面唇漆,亮面唇漆 007
