"brand","date","month","sku","product","quantity","channel"
"G2G","2025-07-24","2025-07","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","13","POYA"
"G2G","2025-07-24","2025-07","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","8","POYA"
"G2G","2025-07-24","2025-07","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","1","POYA"
"G2G","2025-07-24","2025-07","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","4","POYA"
"G2G","2025-07-24","2025-07","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","2","POYA"
"G2G","2025-07-24","2025-07","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","4","POYA"
"G2G","2025-07-24","2025-07","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","4","POYA"
"G2G","2025-07-24","2025-07","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","2","POYA"
"G2G","2025-07-24","2025-07","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","2","POYA"
"G2G","2025-07-24","2025-07","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","65","POYA"
"G2G","2025-07-24","2025-07","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","21","POYA"
"G2G","2025-07-24","2025-07","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","66","POYA"
"G2G","2025-07-24","2025-07","G2G-42","GLAD2GLOW櫻花卸妝水300ml","28","POYA"
"G2G","2025-07-24","2025-07","G2G-43","GLAD2GLOW牛奶潔面乳80g","13","POYA"
"G2G","2025-07-24","2025-07","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","33","POYA"
"G2G","2025-07-24","2025-07","G2G-51","GLAD2GLOW視黃醇精華17ml","18","POYA"
"G2G","2025-07-24","2025-07","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","3","POYA"
"G2G","2025-07-24","2025-07","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","4","POYA"
"G2G","2025-07-24","2025-07","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","3","POYA"
"G2G","2025-07-24","2025-07","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","6","POYA"
"G2G","2025-07-24","2025-07","G2G-83","GLAD2GLOW視黃醇面霜30g","23","POYA"
"G2G","2025-07-31","2025-07","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","59","POYA"
"G2G","2025-07-31","2025-07","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","28","POYA"
"G2G","2025-07-31","2025-07","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","11","POYA"
"G2G","2025-07-31","2025-07","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","7","POYA"
"G2G","2025-07-31","2025-07","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","2","POYA"
"G2G","2025-07-31","2025-07","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","9","POYA"
"G2G","2025-07-31","2025-07","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","8","POYA"
"G2G","2025-07-31","2025-07","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","9","POYA"
"G2G","2025-07-31","2025-07","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","8","POYA"
"G2G","2025-07-31","2025-07","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","125","POYA"
"G2G","2025-07-31","2025-07","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","65","POYA"
"G2G","2025-07-31","2025-07","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","125","POYA"
"G2G","2025-07-31","2025-07","G2G-42","GLAD2GLOW櫻花卸妝水300ml","62","POYA"
"G2G","2025-07-31","2025-07","G2G-43","GLAD2GLOW牛奶潔面乳80g","21","POYA"
"G2G","2025-07-31","2025-07","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","57","POYA"
"G2G","2025-07-31","2025-07","G2G-51","GLAD2GLOW視黃醇精華17ml","33","POYA"
"G2G","2025-07-31","2025-07","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","5","POYA"
"G2G","2025-07-31","2025-07","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","7","POYA"
"G2G","2025-07-31","2025-07","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","8","POYA"
"G2G","2025-07-31","2025-07","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","8","POYA"
"G2G","2025-07-31","2025-07","G2G-83","GLAD2GLOW視黃醇面霜30g","60","POYA"
"G2G","2025-08-07","2025-08","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","87","POYA"
"G2G","2025-08-07","2025-08","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","77","POYA"
"G2G","2025-08-07","2025-08","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","12","POYA"
"G2G","2025-08-07","2025-08","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","7","POYA"
"G2G","2025-08-07","2025-08","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","10","POYA"
"G2G","2025-08-07","2025-08","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","20","POYA"
"G2G","2025-08-07","2025-08","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","7","POYA"
"G2G","2025-08-07","2025-08","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","13","POYA"
"G2G","2025-08-07","2025-08","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","8","POYA"
"G2G","2025-08-07","2025-08","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","130","POYA"
"G2G","2025-08-07","2025-08","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","99","POYA"
"G2G","2025-08-07","2025-08","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","153","POYA"
"G2G","2025-08-07","2025-08","G2G-42","GLAD2GLOW櫻花卸妝水300ml","61","POYA"
"G2G","2025-08-07","2025-08","G2G-43","GLAD2GLOW牛奶潔面乳80g","37","POYA"
"G2G","2025-08-07","2025-08","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","93","POYA"
"G2G","2025-08-07","2025-08","G2G-51","GLAD2GLOW視黃醇精華17ml","48","POYA"
"G2G","2025-08-07","2025-08","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","9","POYA"
"G2G","2025-08-07","2025-08","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","4","POYA"
"G2G","2025-08-07","2025-08","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","13","POYA"
"G2G","2025-08-07","2025-08","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","8","POYA"
"G2G","2025-08-07","2025-08","G2G-83","GLAD2GLOW視黃醇面霜30g","58","POYA"
"G2G","2025-08-14","2025-08","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","94","POYA"
"G2G","2025-08-14","2025-08","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","64","POYA"
"G2G","2025-08-14","2025-08","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","15","POYA"
"G2G","2025-08-14","2025-08","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","14","POYA"
"G2G","2025-08-14","2025-08","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","10","POYA"
"G2G","2025-08-14","2025-08","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","19","POYA"
"G2G","2025-08-14","2025-08","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","6","POYA"
"G2G","2025-08-14","2025-08","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","13","POYA"
"G2G","2025-08-14","2025-08","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","2","POYA"
"G2G","2025-08-14","2025-08","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","165","POYA"
"G2G","2025-08-14","2025-08","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","89","POYA"
"G2G","2025-08-14","2025-08","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","144","POYA"
"G2G","2025-08-14","2025-08","G2G-42","GLAD2GLOW櫻花卸妝水300ml","50","POYA"
